metric_category,name,year,metric_name,value,units,additional_notes,,,,,,,
Social,Cardinal Health Inc.,2023,Board of Directors Ethnic Diversity (White),72.7,%,,,,,,,,
Social,Cardinal Health Inc.,2024,Operating Committee Gender Diversity (Female),33.3,%,Assured,,,,,,,
Social,Cardinal Health Inc.,2024,Operating Committee Gender Diversity (Male),66.7,%,Assured,,,,,,,
Social,Cardinal Health Inc.,2023,Operating Committee Gender Diversity (Female),26.7,%,,,,,,,,
Social,Cardinal Health Inc.,2023,Operating Committee Gender Diversity (Male),73.3,%,,,,,,,,
Social,Cardinal Health Inc.,2024,Operating Committee Ethnic Diversity (Black or African American),36.7,%,Assured,,,,,,,
Social,Cardinal Health Inc.,2024,Operating Committee Ethnic Diversity (Hispanic or Latino),6.7,%,Assured,,,,,,,
Social,Cardinal Health Inc.,2024,Operating Committee Ethnic Diversity (White),86.7,%,Assured,,,,,,,
Social,Cardinal Health Inc.,2023,Operating Committee Ethnic Diversity (Asian),6.6,%,,,,,,,,
Social,Cardinal Health Inc.,2023,Operating Committee Ethnic Diversity (Black or African American),6.7,%,,,,,,,,
Social,Cardinal Health Inc.,2023,Operating Committee Ethnic Diversity (Hispanic or Latino),6.7,%,,,,,,,,
Social,Cardinal Health Inc.,2023,Operating Committee Ethnic Diversity (White),80,%,,,,,,,,
Social,Cardinal Health Inc.,2024,Global Employees Gender Diversity (Female),51.1,%,Assured,,,,,,,
Social,Cardinal Health Inc.,2024,Global Employees Gender Diversity (Male),48.4,%,Assured,,,,,,,
Social,Cardinal Health Inc.,2023,Global Employees Gender Diversity (Female),50.2,%,Assured,,,,,,,
Social,Cardinal Health Inc.,2023,Global Employees Gender Diversity (Male),49.3,%,Assured,,,,,,,
Social,Cardinal Health Inc.,2024,U.S Employees Ethnic Diversity (American Indian / Alaskan Native),0.6,%,Assured,,,,,,,
Social,Cardinal Health Inc.,2024,U.S Employees Ethnic Diversity (Asian),9.7,%,Assured,,,,,,,
Social,Cardinal Health Inc.,2024,U.S Employees Ethnic Diversity (Black or African American),18.2,%,Assured,,,,,,,
Social,Cardinal Health Inc.,2024,U.S Employees Ethnic Diversity (Hispanic or Latino),19.4,%,Assured,,,,,,,
Social,Cardinal Health Inc.,2024,U.S Employees Ethnic Diversity (Native Hawaiian or Other Pacific Islander),0.5,%,Assured,,,,,,,
Social,Cardinal Health Inc.,2024,U.S Employees Ethnic Diversity (Two or More Races),2.3,%,Assured,,,,,,,
Social,Cardinal Health Inc.,2024,U.S Employees Ethnic Diversity (White),48.3,%,Assured,,,,,,,
Social,Cardinal Health Inc.,2024,U.S Employees Ethnic Diversity (Not declared),1,%,Assured,,,,,,,
Social,Cardinal Health Inc.,2023,U.S Employees Ethnic Diversity (American Indian / Alaskan Native),0.5,%,Assured,,,,,,,
Social,Cardinal Health Inc.,2023,U.S Employees Ethnic Diversity (Asian),9.1,%,Assured,,,,,,,
Social,Cardinal Health Inc.,2023,U.S Employees Ethnic Diversity (Black or African American),18.4,%,Assured,,,,,,,
Social,Cardinal Health Inc.,2023,U.S Employees Ethnic Diversity (Hispanic or Latino),18.8,%,Assured,,,,,,,
Social,Cardinal Health Inc.,2023,U.S Employees Ethnic Diversity (Native Hawaiian or Other Pacific Islander),0.6,%,Assured,,,,,,,
Social,Cardinal Health Inc.,2023,U.S Employees Ethnic Diversity (Two or More Races),2.2,%,Assured,,,,,,,
Social,Cardinal Health Inc.,2023,U.S Employees Ethnic Diversity (White),49.9,%,Assured,,,,,,,
Social,Cardinal Health Inc.,2023,U.S Employees Ethnic Diversity (Not declared/Not specified),0.5,%,Assured,,,,,,,
Social,Cardinal Health Inc.,2024,Employee volunteer hours,54600,hours,More than 54600 hours,,,,,,,
Social,Cardinal Health Inc.,2023,Employee volunteer hours,54600,hours,More than 54600 hours,,,,,,,
Social,Cardinal Health Inc.,2024,Foundation and company donations,8.5,million $,,,,,,,,
Social,Cardinal Health Inc.,2023,Foundation and company donations,8.4,million $,,,,,,,,
Social,Cardinal Health Inc.,2024,Product donations,13,million $,13+ million,,,,,,,
Social,Cardinal Health Inc.,2023,Product donations,13.53,million $,,,,,,,,
Environment,Cardinal Health Inc.,2024,Sustainable Technologies - Devices collected,19.54,million devices,Diverting more than 19.54M pounds of waste from landfills,,,,,,,
Environment,Cardinal Health Inc.,2023,Sustainable Technologies - Devices collected,17.05,million devices,Diverting more than 5.24M pounds of waste from landfills,,,,,,,
Environment,Cardinal Health Inc.,2024,Water withdrawal,4.21,million cubic meters,,,,,,,,
Environment,Cardinal Health Inc.,2023,Water withdrawal,54.65,million cubic meters,,,,,,,,
Environment,Cardinal Health Inc.,2024,Total Waste generated,85885,metric tons,70084 million metric tons of waste were recycled.,,,,,,,
Environment,Cardinal Health Inc.,2023,Total Waste generated,92290,metric tons,61289 million metric tons of waste were recycled.,,,,,,,
People,Brookfield Corporate,2024,Full-Time Employees,2796,FTE,N/A,,,,,,,
People,Brookfield Corporate,2023,Full-Time Employees,2690,FTE,N/A,,,,,,,
People,Brookfield Corporate,2022,Full-Time Employees,2708,FTE,N/A,,,,,,,
People,Brookfield Corporate,2021,Full-Time Employees,2380,FTE,N/A,,,,,,,
People,Brookfield Corporate,2020,Full-Time Employees,1854,FTE,N/A,,,,,,,
People,Brookfield Corporate,2024,Female Full-Time Employees,46,%,N/A,,,,,,,
People,Brookfield Corporate,2023,Female Full-Time Employees,46,%,N/A,,,,,,,
People,Brookfield Corporate,2022,Female Full-Time Employees,45,%,N/A,,,,,,,
People,Brookfield Corporate,2021,Female Full-Time Employees,46,%,N/A,,,,,,,
People,Brookfield Corporate,2020,Female Full-Time Employees,45,%,N/A,,,,,,,
People,Brookfield Corporate,2024,Female SVPs and Above,29,%,N/A,,,,,,,
People,Brookfield Corporate,2023,Female SVPs and Above,29,%,N/A,,,,,,,
People,Brookfield Corporate,2022,Female SVPs and Above,28,%,N/A,,,,,,,
People,Brookfield Corporate,2021,Female SVPs and Above,27,%,N/A,,,,,,,
People,Brookfield Corporate,2020,Female SVPs and Above,22,%,N/A,,,,,,,
People,Brookfield Corporate,2024,Female Board Directors (Full),33,%,Footnote 1,,,,,,,
People,Brookfield Corporate,2023,Female Board Directors (Full),33,%,Footnote 1,,,,,,,
People,Brookfield Corporate,2022,Female Board Directors (Full),33,%,Footnote 1,,,,,,,
People,Brookfield Corporate,2021,Female Board Directors (Full),N/A,%,N/A,,,,,,,
People,Brookfield Corporate,2020,Female Board Directors (Full),N/A,%,N/A,,,,,,,
People,Brookfield Corporate,2024,Female Board Directors (Independent),57,%,Footnote 1,,,,,,,
People,Brookfield Corporate,2023,Female Board Directors (Independent),57,%,Footnote 1,,,,,,,
People,Brookfield Corporate,2022,Female Board Directors (Independent),57,%,Footnote 1,,,,,,,
People,Brookfield Corporate,2021,Female Board Directors (Independent),N/A,%,N/A,,,,,,,
People,Brookfield Corporate,2020,Female Board Directors (Independent),N/A,%,N/A,,,,,,,
People,Brookfield Corporate (Global Ethnic Diversity),2024,White,46,%,N/A,,,,,,,
People,Brookfield Corporate (Global Ethnic Diversity),2023,White,48,%,N/A,,,,,,,
People,Brookfield Corporate (Global Ethnic Diversity),2022,White,50,%,N/A,,,,,,,
People,Brookfield Corporate (Global Ethnic Diversity),2021,White,52,%,N/A,,,,,,,
People,Brookfield Corporate (Global Ethnic Diversity),2020,White,N/A,%,N/A,,,,,,,
People,Brookfield Corporate (Global Ethnic Diversity),2024,Asian,34,%,N/A,,,,,,,
People,Brookfield Corporate (Global Ethnic Diversity),2023,Asian,32,%,N/A,,,,,,,
People,Brookfield Corporate (Global Ethnic Diversity),2022,Asian,29,%,N/A,,,,,,,
People,Brookfield Corporate (Global Ethnic Diversity),2021,Asian,28,%,N/A,,,,,,,
People,Brookfield Corporate (Global Ethnic Diversity),2020,Asian,N/A,%,N/A,,,,,,,
People,Brookfield Corporate (Global Ethnic Diversity),2024,Black,5,%,N/A,,,,,,,
People,Brookfield Corporate (Global Ethnic Diversity),2023,Black,5,%,N/A,,,,,,,
People,Brookfield Corporate (Global Ethnic Diversity),2022,Black,5,%,N/A,,,,,,,
People,Brookfield Corporate (Global Ethnic Diversity),2021,Black,4,%,N/A,,,,,,,
People,Brookfield Corporate (Global Ethnic Diversity),2020,Black,N/A,%,N/A,,,,,,,
People,Brookfield Corporate (Global Ethnic Diversity),2024,Hispanic/Latinx,3,%,N/A,,,,,,,
People,Brookfield Corporate (Global Ethnic Diversity),2023,Hispanic/Latinx,3,%,N/A,,,,,,,
People,Brookfield Corporate (Global Ethnic Diversity),2022,Hispanic/Latinx,3,%,N/A,,,,,,,
People,Brookfield Corporate (Global Ethnic Diversity),2021,Hispanic/Latinx,3,%,N/A,,,,,,,
People,Brookfield Corporate (Global Ethnic Diversity),2020,Hispanic/Latinx,N/A,%,N/A,,,,,,,
People,Brookfield Corporate (Global Ethnic Diversity),2024,Two or More Races/Other,6,%,N/A,,,,,,,
People,Brookfield Corporate (Global Ethnic Diversity),2023,Two or More Races/Other,6,%,N/A,,,,,,,
People,Brookfield Corporate (Global Ethnic Diversity),2022,Two or More Races/Other,6,%,N/A,,,,,,,
People,Brookfield Corporate (Global Ethnic Diversity),2021,Two or More Races/Other,7,%,N/A,,,,,,,
People,Brookfield Corporate (Global Ethnic Diversity),2020,Two or More Races/Other,N/A,%,N/A,,,,,,,
People,Brookfield Corporate (Global Ethnic Diversity),2024,Did Not Respond or Declined to Self-Identify,6,%,N/A,,,,,,,
People,Brookfield Corporate (Global Ethnic Diversity),2023,Did Not Respond or Declined to Self-Identify,6,%,N/A,,,,,,,
People,Brookfield Corporate (Global Ethnic Diversity),2022,Did Not Respond or Declined to Self-Identify,7,%,N/A,,,,,,,
People,Brookfield Corporate (Global Ethnic Diversity),2021,Did Not Respond or Declined to Self-Identify,6,%,N/A,,,,,,,
People,Brookfield Corporate (Global Ethnic Diversity),2020,Did Not Respond or Declined to Self-Identify,N/A,%,N/A,,,,,,,
People,Brookfield Corporate (Diversity by Role),2024,Full-Time Employees,42,%,Footnote 2,,,,,,,
People,Brookfield Corporate (Diversity by Role),2023,Full-Time Employees,41,%,Footnote 2,,,,,,,
People,Brookfield Corporate (Diversity by Role),2022,Full-Time Employees,40,%,Footnote 2,,,,,,,
People,Brookfield Corporate (Diversity by Role),2021,Full-Time Employees,39,%,N/A,,,,,,,
People,Brookfield Corporate (Diversity by Role),2024,SVPs and Above,23,%,Footnote 2,,,,,,,
People,Brookfield Corporate (Diversity by Role),2023,SVPs and Above,23,%,Footnote 2,,,,,,,
People,Brookfield Corporate (Diversity by Role),2022,SVPs and Above,27,%,N/A,,,,,,,
People,Brookfield Corporate (Diversity by Role),2021,SVPs and Above,22,%,N/A,,,,,,,
People,Brookfield Corporate (Diversity by Role),2024,Investment Team,34,%,Footnote 2,,,,,,,
People,Brookfield Corporate (Diversity by Role),2023,Investment Team,33,%,Footnote 2,,,,,,,
People,Brookfield Corporate (Diversity by Role),2022,Investment Team,31,%,Footnote 2,,,,,,,
People,Brookfield Corporate (Diversity by Role),2021,Investment Team,29,%,N/A,,,,,,,
People,Brookfield Corporate (Diversity by Role),2024,Operations Team,45,%,Footnote 2,,,,,,,
People,Brookfield Corporate (Diversity by Role),2023,Operations Team,45,%,Footnote 2,,,,,,,
People,Brookfield Corporate (Diversity by Role),2022,Operations Team,43,%,N/A,,,,,,,
People,Brookfield Corporate (Diversity by Role),2021,Operations Team,44,%,N/A,,,,,,,
Environment,Brookfield Corporate,2024,Organization Offices Reported,55,#,,,,,,,,
Environment,Brookfield Corporate,2023,Organization Offices Reported,56,#,,,,,,,,
Environment,Brookfield Corporate,2022,Organization Offices Reported,50,#,,,,,,,,
Environment,Brookfield Corporate,2021,Organization Offices Reported,51,#,,,,,,,,
Environment,Brookfield Corporate,2020,Organization Offices Reported,54,#,,,,,,,,
Environment,Brookfield Corporate,2024,Greenhouse Gas Emissions Scope 1 Direct,322,mtCO2e,,,,,,,,
Environment,Brookfield Corporate,2023,Greenhouse Gas Emissions Scope 1 Direct,363,mtCO2e,,,,,,,,
Environment,Brookfield Corporate,2022,Greenhouse Gas Emissions Scope 1 Direct,454,mtCO2e,,,,,,,,
Environment,Brookfield Corporate,2021,Greenhouse Gas Emissions Scope 1 Direct,365,mtCO2e,,,,,,,,
Environment,Brookfield Corporate,2020,Greenhouse Gas Emissions Scope 1 Direct,377,mtCO2e,,,,,,,,
Environment,Brookfield Corporate,2024,Scope 2 Indirect Location-based,2445,mtCO2e,,,,,,,,
Environment,Brookfield Corporate,2023,Scope 2 Indirect Location-based,2334,mtCO2e,,,,,,,,
Environment,Brookfield Corporate,2022,Scope 2 Indirect Location-based,2184,mtCO2e,,,,,,,,
Environment,Brookfield Corporate,2021,Scope 2 Indirect Location-based,2109,mtCO2e,,,,,,,,
Environment,Brookfield Corporate,2020,Scope 2 Indirect Location-based,1779,mtCO2e,,,,,,,,
Environment,Brookfield Corporate,2024,Scope 2 Indirect Market-based,1793,mtCO2e,,,,,,,,
Environment,Brookfield Corporate,2023,Scope 2 Indirect Market-based,2048,mtCO2e,,,,,,,,
Environment,Brookfield Corporate,2022,Scope 2 Indirect Market-based,1978,mtCO2e,,,,,,,,
Environment,Brookfield Corporate,2021,Scope 2 Indirect Market-based,1987,mtCO2e,,,,,,,,
Environment,Brookfield Corporate,2020,Scope 2 Indirect Market-based,1740,mtCO2e,,,,,,,,
Environment,Brookfield Corporate,2024,Scope 3 Category 5: Waste Generated in Operations,150,mtCO2e,,,,,,,,
Environment,Brookfield Corporate,2023,Scope 3 Category 5: Waste Generated in Operations,63,mtCO2e,,,,,,,,
Environment,Brookfield Corporate,2022,Scope 3 Category 5: Waste Generated in Operations,N/A,mtCO2e,,,,,,,,
Environment,Brookfield Corporate,2021,Scope 3 Category 5: Waste Generated in Operations,N/A,mtCO2e,,,,,,,,
Environment,Brookfield Corporate,2020,Scope 3 Category 5: Waste Generated in Operations,N/A,mtCO2e,,,,,,,,
Environment,Brookfield Corporate,2024,Scope 3 Category 6: Business Air Travel,11182,mtCO2e,,,,,,,,
Environment,Brookfield Corporate,2023,Scope 3 Category 6: Business Air Travel,14188,mtCO2e,,,,,,,,
Environment,Brookfield Corporate,2022,Scope 3 Category 6: Business Air Travel,10945,mtCO2e,,,,,,,,
Environment,Brookfield Corporate,2021,Scope 3 Category 6: Business Air Travel,2646,mtCO2e,,,,,,,,
Environment,Brookfield Corporate,2020,Scope 3 Category 6: Business Air Travel,1165,mtCO2e,,,,,,,,
Environment,Brookfield Corporate,2024,Total Location-Based Emissions,14099,mtCO2e,,,,,,,,
Environment,Brookfield Corporate,2023,Total Location-Based Emissions,16948,mtCO2e,,,,,,,,
Environment,Brookfield Corporate,2022,Total Location-Based Emissions,13583,mtCO2e,,,,,,,,
Environment,Brookfield Corporate,2021,Total Location-Based Emissions,5120,mtCO2e,,,,,,,,
Environment,Brookfield Corporate,2020,Total Location-Based Emissions,3321,mtCO2e,,,,,,,,
Environment,Brookfield Corporate,2024,Total Market-Based Emissions,13447,mtCO2e,,,,,,,,
Environment,Brookfield Corporate,2023,Total Market-Based Emissions,16662,mtCO2e,,,,,,,,
Environment,Brookfield Corporate,2022,Total Market-Based Emissions,13377,mtCO2e,,,,,,,,
Environment,Brookfield Corporate,2021,Total Market-Based Emissions,4998,mtCO2e,,,,,,,,
Environment,Brookfield Corporate,2020,Total Market-Based Emissions,3282,mtCO2e,,,,,,,,
Environment,Controlled Portfolio Companies,2024,GHG Emissions Scope 1 & 2,8660,'000s mtCO2e,,,,,,,,
Environment,Controlled Portfolio Companies,2023,GHG Emissions Scope 1 & 2,8935,'000s mtCO2e,,,,,,,,
Environment,Controlled Portfolio Companies,2022,GHG Emissions Scope 1 & 2,N/A,'000s mtCO2e,,,,,,,,
Environment,Controlled Portfolio Companies,2021,GHG Emissions Scope 1 & 2,N/A,'000s mtCO2e,,,,,,,,
Environment,Controlled Portfolio Companies,2020,GHG Emissions Scope 1 & 2,9207,'000s mtCO2e,,,,,,,,
Environment,Controlled Portfolio Companies,2024,Emissions Coverage of Operationally Managed Investments,93,%,,,,,,,,
Environment,Controlled Portfolio Companies,2023,Emissions Coverage of Operationally Managed Investments,94,%,,,,,,,,
Environment,Controlled Portfolio Companies,2022,Emissions Coverage of Operationally Managed Investments,N/A,%,,,,,,,,
Environment,Controlled Portfolio Companies,2021,Emissions Coverage of Operationally Managed Investments,N/A,%,,,,,,,,
Environment,Controlled Portfolio Companies,2020,Emissions Coverage of Operationally Managed Investments,N/A,%,,,,,,,,
Environment,Controlled Portfolio Companies,2024,Emissions Coverage of Invested AUM,80,%,,,,,,,,
Environment,Controlled Portfolio Companies,2023,Emissions Coverage of Invested AUM,76,%,,,,,,,,
Environment,Controlled Portfolio Companies,2022,Emissions Coverage of Invested AUM,N/A,%,,,,,,,,
Environment,Controlled Portfolio Companies,2021,Emissions Coverage of Invested AUM,N/A,%,,,,,,,,
Environment,Controlled Portfolio Companies,2020,Emissions Coverage of Invested AUM,N/A,%,,,,,,,,
Environment,Non-Controlled Portfolio Companies,2024,Financed Emissions,35290,'000s mtCO2e,,,,,,,,
Environment,Non-Controlled Portfolio Companies,2023,Financed Emissions,13846,'000s mtCO2e,,,,,,,,
Environment,Non-Controlled Portfolio Companies,2022,Financed Emissions,N/A,'000s mtCO2e,,,,,,,,
Environment,Non-Controlled Portfolio Companies,2021,Financed Emissions,N/A,'000s mtCO2e,,,,,,,,
Environment,Non-Controlled Portfolio Companies,2020,Financed Emissions,N/A,'000s mtCO2e,,,,,,,,
Environment,Brookfield Corporate,2024,Water Consumption,51870,m3,,,,,,,,
Environment,Brookfield Corporate,2023,Water Consumption,40588,m3,,,,,,,,
Environment,Brookfield Corporate,2022,Water Consumption,45648,m3,,,,,,,,
Environment,Brookfield Corporate,2021,Water Consumption,30435,m3,,,,,,,,
Environment,Brookfield Corporate,2020,Water Consumption,26561,m3,,,,,,,,
Environment,Brookfield Corporate,2024,Business Waste,543,mt,,,,,,,,
Environment,Brookfield Corporate,2023,Business Waste,296,mt,,,,,,,,
Environment,Brookfield Corporate,2022,Business Waste,238,mt,,,,,,,,
Environment,Brookfield Corporate,2021,Business Waste,151,mt,,,,,,,,
Environment,Brookfield Corporate,2020,Business Waste,125,mt,,,,,,,,
Environment,Brookfield Corporate,2024,Recycled Material,50,%,,,,,,,,
Environment,Brookfield Corporate,2023,Recycled Material,63,%,,,,,,,,
Environment,Brookfield Corporate,2022,Recycled Material,49,%,,,,,,,,
Environment,Brookfield Corporate,2021,Recycled Material,50,%,,,,,,,,
Environment,Brookfield Corporate,2020,Recycled Material,50,%,,,,,,,,
Environment,Brookfield Corporate,2024,Recycled E-waste,100,%,,,,,,,,
Environment,Brookfield Corporate,2023,Recycled E-waste,97,%,,,,,,,,
Environment,Brookfield Corporate,2022,Recycled E-waste,100,%,,,,,,,,
Environment,Brookfield Corporate,2021,Recycled E-waste,100,%,,,,,,,,
Environment,Brookfield Corporate,2020,Recycled E-waste,N/A,%,,,,,,,,
Environment,Brookfield Corporate,2020,Recycled E-waste,N/A,%,,,,,,,,
metric_category,name,year,metric_name,value,units,additional_notes,,,,,,,
S,Caterpillar,2018,Total number of employees,97300,Number,2030 Goals Baseline.,,,,,,,
S,Caterpillar,2020,Total number of employees,107700,Number,,,,,,,,
S,Caterpillar,2021,Total number of employees,109100,Number,,,,,,,,
S,Caterpillar,2022,Total number of employees,113200,Number,,,,,,,,
S,Caterpillar,2023,Total number of employees,112900,Number,,,,,,,,
S,Caterpillar,2024,Total number of employees,112900,Number,,,,,,,,
S,Caterpillar,2018,Number of employees outside of the United States,57000,Number,2030 Goals Baseline.,,,,,,,
S,Caterpillar,2020,Number of employees outside of the United States,63400,Number,,,,,,,,
S,Caterpillar,2021,Number of employees outside of the United States,60900,Number,,,,,,,,
S,Caterpillar,2022,Number of employees outside of the United States,62400,Number,,,,,,,,
S,Caterpillar,2023,Number of employees outside of the United States,61400,Number,,,,,,,,
S,Caterpillar,2024,Number of employees outside of the United States,61400,Number,,,,,,,,
S,Caterpillar,2018,Women in enterprise,20%,percent,2030 Goals Baseline.,,,,,,,
S,Caterpillar,2020,Women in enterprise,23%,percent,,,,,,,,
S,Caterpillar,2021,Women in enterprise,23%,percent,,,,,,,,
S,Caterpillar,2022,Women in enterprise,23%,percent,,,,,,,,
S,Caterpillar,2023,Women in enterprise,24%,percent,,,,,,,,
S,Caterpillar,2024,Women in enterprise,24%,percent,,,,,,,,
S,Caterpillar,2018,Women in leadership,20%,percent,2030 Goals Baseline.,,,,,,,
S,Caterpillar,2020,Women in leadership,21%,percent,,,,,,,,
S,Caterpillar,2021,Women in leadership,22%,percent,,,,,,,,
S,Caterpillar,2022,Women in leadership,23%,percent,,,,,,,,
S,Caterpillar,2023,Women in leadership,23%,percent,,,,,,,,
S,Caterpillar,2024,Women in leadership,23%,percent,,,,,,,,
S,Caterpillar,2018,Collective bargaining (% of employees covered),40%,percent,"We respect the right of our employees to form, join or not to join any lawful organization of their choice.",,,,,,,
S,Caterpillar,2020,Collective bargaining (% of employees covered),40%,percent,,,,,,,,
S,Caterpillar,2021,Collective bargaining (% of employees covered),41%,percent,,,,,,,,
S,Caterpillar,2022,Collective bargaining (% of employees covered),38%,percent,,,,,,,,
S,Caterpillar,2023,Collective bargaining (% of employees covered),39%,percent,,,,,,,,
S,Caterpillar,2024,Collective bargaining (% of employees covered),39%,percent,,,,,,,,
S,Caterpillar,2018,Lost-time case frequency rate (LTCFR),0.2,"worker-related injuries resulting in lost time per 200,000 hours worked",We strive to continually reduce our RIF and LTCFR results by utilizing an enterprise safety strategy.,,,,,,,
S,Caterpillar,2020,Lost-time case frequency rate (LTCFR),0.18,"worker-related injuries resulting in lost time per 200,000 hours worked",,,,,,,,
S,Caterpillar,2021,Lost-time case frequency rate (LTCFR),0.18,"worker-related injuries resulting in lost time per 200,000 hours worked",,,,,,,,
S,Caterpillar,2022,Lost-time case frequency rate (LTCFR),0.14,"worker-related injuries resulting in lost time per 200,000 hours worked",,,,,,,,
S,Caterpillar,2023,Lost-time case frequency rate (LTCFR),0.17,"worker-related injuries resulting in lost time per 200,000 hours worked",,,,,,,,
S,Caterpillar,2024,Lost-time case frequency rate (LTCFR),0.17,"worker-related injuries resulting in lost time per 200,000 hours worked",,,,,,,,
S,Caterpillar,2018,Recordable injury frequency (RIF),0.53,"recordable injuries per 200,000 hours worked",We strive to continually reduce our RIF and LTCFR results by utilizing an enterprise safety strategy.,,,,,,,
S,Caterpillar,2020,Recordable injury frequency (RIF),0.42,"recordable injuries per 200,000 hours worked",,,,,,,,
S,Caterpillar,2021,Recordable injury frequency (RIF),0.41,"recordable injuries per 200,000 hours worked",,,,,,,,
S,Caterpillar,2022,Recordable injury frequency (RIF),0.44,"recordable injuries per 200,000 hours worked",,,,,,,,
S,Caterpillar,2023,Recordable injury frequency (RIF),0.4,"recordable injuries per 200,000 hours worked",,,,,,,,
S,Caterpillar,2024,Recordable injury frequency (RIF),0.43,"recordable injuries per 200,000 hours worked",,,,,,,,
S,Caterpillar,2018,Employee fatalities,0,Number,We will continue to work to ensure our workforce goes home safely every day.,,,,,,,
S,Caterpillar,2020,Employee fatalities,0,Number,,,,,,,,
S,Caterpillar,2021,Employee fatalities,1,Number,,,,,,,,
S,Caterpillar,2022,Employee fatalities,0,Number,,,,,,,,
S,Caterpillar,2023,Employee fatalities,1,Number,,,,,,,,
S,Caterpillar,2024,Employee fatalities,1,Number,,,,,,,,
S,Caterpillar,2018,Contractor fatalities,2,Number,We will continue to work to ensure our workforce goes home safely every day.,,,,,,,
S,Caterpillar,2020,Contractor fatalities,1,Number,,,,,,,,
S,Caterpillar,2021,Contractor fatalities,0,Number,,,,,,,,
S,Caterpillar,2022,Contractor fatalities,0,Number,,,,,,,,
S,Caterpillar,2023,Contractor fatalities,1,Number,,,,,,,,
S,Caterpillar,2024,Contractor fatalities,1,Number,,,,,,,,
E,Caterpillar,2018,Total energy use,19.4,million gigajoules,"2030 Goals Baseline. As of 2024, we reduced our total energy use by 24% from our 2018 baseline.",,,,,,,
E,Caterpillar,2020,Total energy use,20.4,million gigajoules,,,,,,,,
E,Caterpillar,2021,Total energy use,20.7,million gigajoules,,,,,,,,
E,Caterpillar,2022,Total energy use,19.5,million gigajoules,,,,,,,,
E,Caterpillar,2023,Total energy use,19.1,million gigajoules,,,,,,,,
E,Caterpillar,2024,Total energy use,19.1,million gigajoules,,,,,,,,
E,Caterpillar,2018,Total electricity,2.11,million MWh,,,,,,,,
E,Caterpillar,2020,Total electricity,2.26,million MWh,,,,,,,,
E,Caterpillar,2021,Total electricity,2.3,million MWh,,,,,,,,
E,Caterpillar,2022,Total electricity,2.21,million MWh,,,,,,,,
E,Caterpillar,2023,Total electricity,2.15,million MWh,,,,,,,,
E,Caterpillar,2024,Total electricity,2.15,million MWh,,,,,,,,
E,Caterpillar,2018,Grid electricity (% of total electricity),87.40%,percent,"In 2024, more than 31% of our electrical energy was obtained from renewable sources.",,,,,,,
E,Caterpillar,2020,Grid electricity (% of total electricity),86.70%,percent,,,,,,,,
E,Caterpillar,2021,Grid electricity (% of total electricity),87.60%,percent,,,,,,,,
E,Caterpillar,2022,Grid electricity (% of total electricity),88.90%,percent,,,,,,,,
E,Caterpillar,2023,Grid electricity (% of total electricity),89.50%,percent,,,,,,,,
E,Caterpillar,2024,Grid electricity (% of total electricity),89.50%,percent,,,,,,,,
E,Caterpillar,2018,Renewable energy (as a % of total electricity),19.70%,percent,"In 2024, more than 31% of our electrical energy was obtained from renewable sources.",,,,,,,
E,Caterpillar,2020,Renewable energy (as a % of total electricity),24.00%,percent,,,,,,,,
E,Caterpillar,2021,Renewable energy (as a % of total electricity),28.20%,percent,,,,,,,,
E,Caterpillar,2022,Renewable energy (as a % of total electricity),27.70%,percent,,,,,,,,
E,Caterpillar,2023,Renewable energy (as a % of total electricity),31.50%,percent,,,,,,,,
E,Caterpillar,2024,Renewable energy (as a % of total electricity),31.50%,percent,,,,,,,,
E,Caterpillar,2018,Energy intensity,465,absolute million gigajoules energy use/million dollars of sales and revenues,"From 2018 through 2024, we reduced GHG emissions by improving energy efficiency.",,,,,,,
E,Caterpillar,2020,Energy intensity,400,absolute million gigajoules energy use/million dollars of sales and revenues,,,,,,,,
E,Caterpillar,2021,Energy intensity,348,absolute million gigajoules energy use/million dollars of sales and revenues,,,,,,,,
E,Caterpillar,2022,Energy intensity,291,absolute million gigajoules energy use/million dollars of sales and revenues,,,,,,,,
E,Caterpillar,2023,Energy intensity,295,absolute million gigajoules energy use/million dollars of sales and revenues,,,,,,,,
E,Caterpillar,2024,Energy intensity,295,absolute million gigajoules energy use/million dollars of sales and revenues,,,,,,,,
E,Caterpillar,2018,Scope 1 & 2 Absolute greenhouse gas (GHG) emissions,2.08,million metric tons CO2e,"2030 Goals Baseline. As of 2024, we reduced our Scope 1 (direct) emissions by 28% and Scope 2 (market-based) emissions by 39% from our 2018 baseline.",,,,,,,
E,Caterpillar,2020,Scope 1 & 2 Absolute greenhouse gas (GHG) emissions,1.49,million metric tons CO2e,,,,,,,,
E,Caterpillar,2021,Scope 1 & 2 Absolute greenhouse gas (GHG) emissions,1.52,million metric tons CO2e,,,,,,,,
E,Caterpillar,2022,Scope 1 & 2 Absolute greenhouse gas (GHG) emissions,1.49,million metric tons CO2e,,,,,,,,
E,Caterpillar,2023,Scope 1 & 2 Absolute greenhouse gas (GHG) emissions,1.44,million metric tons CO2e,,,,,,,,
E,Caterpillar,2024,Scope 1 & 2 Absolute greenhouse gas (GHG) emissions,1.37,million metric tons CO2e,,,,,,,,
E,Caterpillar,2018,Scope 1 Direct emissions,0.7,million metric tons CO2e,,,,,,,,
